"","eicu","mimic","p","test"
"n","4951","1576","",""
"acute_cerebrovascular_disease = 1 (%)","526 (10.6)","58 (3.7)","<0.001",""
"anemia = 1 (%)","27 (0.5)","424 (26.9)","<0.001",""
"atrial_fibrillation = 1 (%)","745 (15.0)","645 (40.9)","<0.001",""
"blood_malignancy = 1 (%)","78 (1.6)","41 (2.6)","0.011",""
"chronic_kidney_disease = 1 (%)","884 (17.9)","254 (16.1)","0.122",""
"chronic_obstructive_pulmonary_disease_and_bronchiectasis = 1 (%)","793 (16.0)","236 (15.0)","0.342",""
"coronary_atherosclerosis = 1 (%)","1378 (27.8)","1007 (63.9)","<0.001",""
"diabetes_mellitus = 1 (%)","1711 (34.6)","551 (35.0)","0.793",""
"heart_valve_disorders = 1 (%)","521 (10.5)","397 (25.2)","<0.001",""
"hypertension = 1 (%)","3083 (62.3)","924 (58.6)","0.011",""
"heart_rate_min (mean (SD))","62.08 (15.10)","66.15 (16.85)","<0.001",""
"heart_rate_max (mean (SD))","117.01 (26.83)","109.10 (23.92)","<0.001",""
"heart_rate_mean (mean (SD))","84.97 (14.34)","84.89 (16.32)","0.862",""
"sys_bp_min (mean (SD))","84.99 (20.67)","75.79 (16.54)","<0.001",""
"sys_bp_max (mean (SD))","158.48 (29.39)","144.53 (25.27)","<0.001",""
"sys_bp_mean (mean (SD))","119.08 (17.66)","107.65 (14.13)","<0.001",""
"dias_bp_min (mean (SD))","43.35 (13.39)","37.00 (11.21)","<0.001",""
"dias_bp_max (mean (SD))","95.92 (22.69)","82.93 (16.81)","<0.001",""
"dias_bp_mean (mean (SD))","64.91 (10.51)","56.93 (9.69)","<0.001",""
"mean_bp_min (mean (SD))","57.46 (16.17)","50.18 (14.57)","<0.001",""
"mean_bp_max (mean (SD))","111.56 (23.83)","107.57 (29.79)","<0.001",""
"mean_bp_mean (mean (SD))","81.02 (12.86)","74.89 (10.61)","<0.001",""
"resp_rate_min (mean (SD))","10.02 (5.52)","11.85 (3.71)","<0.001",""
"resp_rate_max (mean (SD))","32.71 (9.50)","28.65 (7.26)","<0.001",""
"resp_rate_mean (mean (SD))","19.70 (3.62)","19.13 (3.90)","<0.001",""
"temp_c_mean (mean (SD))","36.74 (0.60)","36.76 (0.87)","0.329",""
"sp_o2_min (mean (SD))","83.32 (17.45)","88.46 (12.35)","<0.001",""
"sp_o2_mean (mean (SD))","96.48 (2.76)","96.85 (3.49)","<0.001",""
"glucose_min (mean (SD))","120.85 (51.77)","110.41 (44.27)","<0.001",""
"aniongap_max (mean (SD))","13.63 (6.19)","18.38 (5.25)","<0.001",""
"bicarbonate_min (mean (SD))","21.74 (5.27)","20.39 (5.20)","<0.001",""
"chloride_max (mean (SD))","105.89 (6.70)","106.99 (6.21)","<0.001",""
"hematocrit_max (mean (SD))","37.28 (6.70)","38.31 (5.45)","<0.001",""
"hemoglobin_min (mean (SD))","10.54 (2.42)","10.09 (2.16)","<0.001",""
"platelet_min (mean (SD))","179.24 (89.83)","188.61 (86.78)","<0.001",""
"platelet_max (mean (SD))","225.63 (102.32)","267.57 (109.21)","<0.001",""
"potassium_max (mean (SD))","4.69 (0.88)","5.07 (0.98)","<0.001",""
"inr_max (mean (SD))","1.62 (1.11)","1.99 (1.71)","<0.001",""
"pt_max (mean (SD))","17.72 (10.63)","18.87 (11.78)","0.001",""
